doi	source	length	note
https://doi.org/10.1016/B978-0-12-821848-8.00166-9	-	0	NoAbstractAll
https://doi.org/10.1016/j.bpobgyn.2024.102525	OpenAlex	1365	OK
https://doi.org/10.1016/j.bpobgyn.2024.102525	OpenAlex	1365	OK
https://doi.org/10.1016/j.bpobgyn.2024.102480	OpenAlex	1006	OK
https://doi.org/10.1016/j.bpobgyn.2024.102525	OpenAlex	1365	OK
https://doi.org/10.1016/j.bpobgyn.2024.102481	OpenAlex	828	OK
https://doi.org/10.1016/j.bpobgyn.2023.102436	OpenAlex	992	OK
https://doi.org/10.1016/j.bpobgyn.2023.102427	OpenAlex	1247	OK
https://doi.org/10.1016/j.ajog.2020.08.057	-	0	NoAbstractAll
doi.org/10.1016/j.patter.2022.100655	OpenAlex	1128	OK
doi.org/10.1016/j.jacadv.2022.100106	-	0	NoAbstractAll
doi.org/10.1016/j.autrev.2023.103496	OpenAlex	1234	OK
https://doi.org/10.1016/S2213-1779(25)00092-7	-	0	NoAbstractAll
https://doi.org/10.1016/j.jacc.2025.05.007	-	0	NoAbstractAll
https://doi.org/10.1016/j.ajt.2024.05.008	-	0	NoAbstractAll
doi.org/10.1016/j.jacc.2020.12.044	-	0	NoAbstractAll
doi.org/10.1053/j.ajkd.2023.04.010	-	0	NoAbstractAll
doi.org/10.1016/j.ajog.2022.06.038	-	0	NoAbstractAll
https://doi.org/10.1016/S2772-963X(22)00287-3	-	0	NoAbstractAll
doi.org/10.1016/j.ajt.2024.05.007	-	0	NoAbstractAll
doi.org/10.1016/j.preghy.2021.10.006	OpenAlex	1578	OK
doi.org/10.1016/S2772-963X(24)00256-4	-	0	NoAbstractAll
doi.org/10.1016/S2772-963X(24)00324-7	-	0	NoAbstractAll
doi.org/10.1016/j.rpth.2024.102503	-	0	NoAbstractAll
doi.org/10.1016/S2772-963X(23)00871-2	-	0	NoAbstractAll
doi.org/10.1016/j.artmed.2024.103057	-	0	NoAbstractAll
doi.org/10.1016/S2772-963X(25)00357-6	-	0	NoAbstractAll
doi.org/10.1016/B978-0-323-88369-6.09991-6	-	0	NoAbstractAll
doi.org/10.1016/S2772-963X(24)00101-7	-	0	NoAbstractAll
doi.org/10.1016/S2213-1779(23)00460-2	-	0	NoAbstractAll
doi.org/10.1016/S2589-7500(23)00267-4	OpenAlex	346	OK
